Time [s], Analyzer Name, Decoded Protocol Result
2.363584000000000,HDMI CEC,End of Message = 0
2.365984500000000,HDMI CEC,Acknowledgment = 1
2.387591000000000,HDMI CEC,End of Message = 1
2.389992000000000,HDMI CEC,Acknowledgment = 1
3.136606500000000,HDMI CEC,Start Sequence
3.141075500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='1' (0x1) (Recorder1)
3.160152000000000,HDMI CEC,End of Message = 1
3.162537500000000,HDMI CEC,Acknowledgment = 0
3.172081500000000,HDMI CEC,Start Sequence
3.176553500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='1' (0x1) (Recorder1)
3.195631500000000,HDMI CEC,End of Message = 1
3.198016000000000,HDMI CEC,Acknowledgment = 0
5.112894000000000,HDMI CEC,Start Sequence
5.117364500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='2' (0x2) (Recorder2)
5.136430500000000,HDMI CEC,End of Message = 1
5.138814000000000,HDMI CEC,Acknowledgment = 0
5.148347500000000,HDMI CEC,Start Sequence
5.152813500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='2' (0x2) (Recorder2)
5.171878000000000,HDMI CEC,End of Message = 1
5.174261000000000,HDMI CEC,Acknowledgment = 0
6.112740000000000,HDMI CEC,Start Sequence
6.117208500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
6.136288500000000,HDMI CEC,End of Message = 0
6.138675000000000,HDMI CEC,Acknowledgment = 1
6.141062000000000,HDMI CEC,Opcode '164' (0xA4) (Invalid)
6.160142500000000,HDMI CEC,End of Message = 0
6.162526500000000,HDMI CEC,Acknowledgment = 1
6.183988000000000,HDMI CEC,End of Message = 0
6.186372500000000,HDMI CEC,Acknowledgment = 1
6.207837500000000,HDMI CEC,End of Message = 0
6.210222500000000,HDMI CEC,Acknowledgment = 1
6.231686000000000,HDMI CEC,End of Message = 0
6.234070500000000,HDMI CEC,Acknowledgment = 1
6.255532500000000,HDMI CEC,End of Message = 1
6.257916000000000,HDMI CEC,Acknowledgment = 1
7.113233500000000,HDMI CEC,Start Sequence
7.117703000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
7.136769500000000,HDMI CEC,End of Message = 0
7.139153500000000,HDMI CEC,Acknowledgment = 1
7.141537000000000,HDMI CEC,Opcode '164' (0xA4) (Invalid)
7.160596000000000,HDMI CEC,End of Message = 0
7.162978000000000,HDMI CEC,Acknowledgment = 1
7.184428500000000,HDMI CEC,End of Message = 0
7.186811500000000,HDMI CEC,Acknowledgment = 1
7.208271000000000,HDMI CEC,End of Message = 0
7.210656000000000,HDMI CEC,Acknowledgment = 1
7.232110500000000,HDMI CEC,End of Message = 0
7.234494000000000,HDMI CEC,Acknowledgment = 1
7.255949000000000,HDMI CEC,End of Message = 1
7.258333000000000,HDMI CEC,Acknowledgment = 1
